"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","143","test_TC199_crear_tax_rate_con_includedInPrice_invalido[not_boolean-400-None]","tests.configuration.tax_rates","Fri Nov 07 21:57:56 UTC 2025","passed","Fri Nov 07 21:57:56 UTC 2025","","test_POST_TaxRates","",""
"","138","test_TC161_crear_grupo_clientes_nombre_mas_255_caracteres","tests.customer.groups","Fri Nov 07 21:58:17 UTC 2025","passed","Fri Nov 07 21:58:17 UTC 2025","","test_POST_CustomerGroup","",""
"","147","test_TC154_crear_grupo_clientes_estructura_json_correcta","tests.customer.groups","Fri Nov 07 21:58:16 UTC 2025","passed","Fri Nov 07 21:58:16 UTC 2025","","test_POST_CustomerGroup","",""
"","141","test_crear_grupo_clientes_caracteres_especiales_en_nombre[Caracteres especiales-N\xf3mbr@ Especial$ & %-False]","tests.customer.groups","Fri Nov 07 21:58:20 UTC 2025","passed","Fri Nov 07 21:58:20 UTC 2025","","test_POST_CustomerGroup","",""
"","162","test_TC203_crear_tax_rate_con_rango_fechas_validos","tests.configuration.tax_rates","Fri Nov 07 21:57:57 UTC 2025","passed","Fri Nov 07 21:57:57 UTC 2025","","test_POST_TaxRates","",""
"","151","test_crear_grupo_clientes_caracteres_especiales_en_nombre[Mix v\xe1lido-Nombre123 Mix@-False]","tests.customer.groups","Fri Nov 07 21:58:20 UTC 2025","passed","Fri Nov 07 21:58:20 UTC 2025","","test_POST_CustomerGroup","",""
"","135","test_crear_grupo_clientes_payload_vacio","tests.customer.groups","Fri Nov 07 21:58:19 UTC 2025","passed","Fri Nov 07 21:58:19 UTC 2025","","test_POST_CustomerGroup","",""
"","475","test__TC337_eliminar_CustomerGroup_tiempo_respuesta","tests.configuration.tax_categories","Fri Nov 07 21:57:26 UTC 2025","passed","Fri Nov 07 21:57:26 UTC 2025","","test_DELETE_TaxCategory","",""
"","317","test_TC80_eliminar_TaxCategory_sin_token","tests.configuration.tax_categories","Fri Nov 07 21:57:24 UTC 2025","passed","Fri Nov 07 21:57:25 UTC 2025","","test_DELETE_TaxCategory","",""
"","127","test_TC218_verificar_respuesta_token_invalido_tax_rate","tests.configuration.tax_rates","Fri Nov 07 21:57:53 UTC 2025","passed","Fri Nov 07 21:57:53 UTC 2025","","test_GET_TaxRates","",""
"","297","test_TC169_crear_multiples_grupos_clientes_simultaneamente","tests.customer.groups","Fri Nov 07 21:58:18 UTC 2025","passed","Fri Nov 07 21:58:18 UTC 2025","","test_POST_CustomerGroup","",""
"","310","test_TC362_Editar_campos_obligatorios_tax_category","tests.configuration.tax_categories","Fri Nov 07 21:57:38 UTC 2025","passed","Fri Nov 07 21:57:38 UTC 2025","","test_PUT_TaxCategory","",""
"","152","test_TC172_crear_grupo_clientes_verificar_headers_respuesta","tests.customer.groups","Fri Nov 07 21:58:18 UTC 2025","passed","Fri Nov 07 21:58:18 UTC 2025","","test_POST_CustomerGroup","",""
"","142","test_TC226_eliminar_tax_rate_y_verificar_respuesta_sin_cuerpo","tests.configuration.tax_rates","Fri Nov 07 21:57:48 UTC 2025","passed","Fri Nov 07 21:57:48 UTC 2025","","test_DELETE_TaxRates","",""
"","290","test_TC236_obtener_categoria_por_codigo","tests.configuration.tax_categories","Fri Nov 07 21:57:32 UTC 2025","passed","Fri Nov 07 21:57:32 UTC 2025","","test_GET_TaxCatergoryList","",""
"","283","test_TC222_eliminar_tax_rate_existente","tests.configuration.tax_rates","Fri Nov 07 21:57:46 UTC 2025","passed","Fri Nov 07 21:57:47 UTC 2025","","test_DELETE_TaxRates","",""
"","122","test_TC243_verificar_acceso_token_expirado_tax_category","tests.configuration.tax_categories","Fri Nov 07 21:57:33 UTC 2025","passed","Fri Nov 07 21:57:33 UTC 2025","","test_GET_TaxCatergoryList","",""
"","312","test_TC417_intento_actualizar_code_tax_category_insatisfactoriamente","tests.configuration.tax_categories","Fri Nov 07 21:57:45 UTC 2025","passed","Fri Nov 07 21:57:45 UTC 2025","","test_PUT_TaxCategory","",""
"","765","test_TC343_eliminar_TaxCategory_no_impacta_otros","tests.configuration.tax_categories","Fri Nov 07 21:57:29 UTC 2025","passed","Fri Nov 07 21:57:30 UTC 2025","","test_DELETE_TaxCategory","",""
"","150","test_TC204_crear_tax_rate_con_endDate_anterior_a_startDate","tests.configuration.tax_rates","Fri Nov 07 21:57:57 UTC 2025","passed","Fri Nov 07 21:57:57 UTC 2025","","test_POST_TaxRates","",""
"","130","test_TC295_actualizar_grupo_clientes_codigo_vacio","tests.customer.groups","Fri Nov 07 21:58:26 UTC 2025","passed","Fri Nov 07 21:58:26 UTC 2025","","test_PUT_CustomerGroup","",""
"","141","test_TC177_verificar_estructura_json_respuesta","tests.customer.groups","Fri Nov 07 21:58:15 UTC 2025","passed","Fri Nov 07 21:58:15 UTC 2025","","test_GET_Customer_Group","",""
"","145","test_TC244_verificar_headers_respuesta_tax_category","tests.configuration.tax_categories","Fri Nov 07 21:57:33 UTC 2025","passed","Fri Nov 07 21:57:33 UTC 2025","","test_GET_TaxCatergoryList","",""
"","149","test_TC220_verificar_respuesta_metodo_no_permitido_tax_rate","tests.configuration.tax_rates","Fri Nov 07 21:57:53 UTC 2025","passed","Fri Nov 07 21:57:53 UTC 2025","","test_GET_TaxRates","",""
"","142","test_TC20_validar_limite_longitud_code","tests.configuration.tax_categories","Fri Nov 07 21:57:35 UTC 2025","passed","Fri Nov 07 21:57:35 UTC 2025","","test_POST_TaxCategory","",""
"","153","test_TC237_verificar_formato_jsonld","tests.configuration.tax_categories","Fri Nov 07 21:57:31 UTC 2025","passed","Fri Nov 07 21:57:32 UTC 2025","","test_GET_TaxCatergoryList","",""
"","636","test_TC338_eliminar_TaxCategory_headers_respuesta","tests.configuration.tax_categories","Fri Nov 07 21:57:26 UTC 2025","passed","Fri Nov 07 21:57:27 UTC 2025","","test_DELETE_TaxCategory","",""
"","146","test_TC196_crear_tax_rate_con_nombre_superior_a_255_caracteres","tests.configuration.tax_rates","Fri Nov 07 21:57:54 UTC 2025","passed","Fri Nov 07 21:57:55 UTC 2025","","test_POST_TaxRates","",""
"","166","test_TC209_actualizar_con_amount_negativo","tests.configuration.tax_rates","Fri Nov 07 21:57:59 UTC 2025","passed","Fri Nov 07 21:57:59 UTC 2025","","test_PUT_TaxRates","",""
"","161","test_TC198_crear_tax_rate_con_amounts_extremos[0.0-tax_rate_cero]","tests.configuration.tax_rates","Fri Nov 07 21:57:55 UTC 2025","passed","Fri Nov 07 21:57:55 UTC 2025","","test_POST_TaxRates","",""
"","150","test_TC210_obtener_listado_tax_rates_valido","tests.configuration.tax_rates","Fri Nov 07 21:57:52 UTC 2025","passed","Fri Nov 07 21:57:52 UTC 2025","","test_GET_TaxRates","",""
"","153","test_TC239_tax_category_no_existe","tests.configuration.tax_categories","Fri Nov 07 21:57:32 UTC 2025","passed","Fri Nov 07 21:57:33 UTC 2025","","test_GET_TaxCatergoryList","",""
"","152","test_TC274_actualizar_grupo_clientes_sin_nombre","tests.customer.groups","Fri Nov 07 21:58:22 UTC 2025","passed","Fri Nov 07 21:58:23 UTC 2025","","test_PUT_CustomerGroup","",""
"","145","test_TC241_validar_paginacion_basica_tax_category","tests.configuration.tax_categories","Fri Nov 07 21:57:32 UTC 2025","passed","Fri Nov 07 21:57:32 UTC 2025","","test_GET_TaxCatergoryList","",""
"","156","test_TC207_actualizar_con_nombre_vacio","tests.configuration.tax_rates","Fri Nov 07 21:57:58 UTC 2025","passed","Fri Nov 07 21:57:58 UTC 2025","","test_PUT_TaxRates","",""
"","715","test_TC307_eliminar_multiples_grupos_secuencialmente","tests.customer.groups","Fri Nov 07 21:58:12 UTC 2025","passed","Fri Nov 07 21:58:12 UTC 2025","","test_DELETE_CustomerGroup","",""
"","155","test_TC234_actualizar_con_nombres_invalidos_parametrizado[Tax Rate'; DROP TABLE users; ---SQL injection-False]","tests.configuration.tax_rates","Fri Nov 07 21:58:03 UTC 2025","passed","Fri Nov 07 21:58:03 UTC 2025","","test_PUT_TaxRates","",""
"","158","test_TC130_obtener_lista_grupos_clientes_exitoso","tests.customer.groups","Fri Nov 07 21:58:15 UTC 2025","passed","Fri Nov 07 21:58:15 UTC 2025","","test_GET_Customer_Group","",""
"","164","test_TC198_crear_tax_rate_con_amounts_extremos[1.5-tax_rate_mayor_100_porciento]","tests.configuration.tax_rates","Fri Nov 07 21:57:56 UTC 2025","passed","Fri Nov 07 21:57:56 UTC 2025","","test_POST_TaxRates","",""
"","138","test_TC230_eliminar_tax_rate_con_codigo_malformado","tests.configuration.tax_rates","Fri Nov 07 21:57:50 UTC 2025","passed","Fri Nov 07 21:57:50 UTC 2025","","test_DELETE_TaxRates","",""
"","126","test_TC02_Auth_fallido_con_credenciales_invalidas","tests.login","Fri Nov 07 21:58:26 UTC 2025","passed","Fri Nov 07 21:58:27 UTC 2025","","test_POST_LoginAdmin","",""
"","120","test_TC23_creacion_sin_autenticacion","tests.configuration.tax_categories","Fri Nov 07 21:57:34 UTC 2025","passed","Fri Nov 07 21:57:34 UTC 2025","","test_POST_TaxCategory","",""
"","126","test_TC217_verificar_respuesta_token_invalido_sin_autenticacion_tax_rate","tests.configuration.tax_rates","Fri Nov 07 21:57:53 UTC 2025","passed","Fri Nov 07 21:57:53 UTC 2025","","test_GET_TaxRates","",""
"","141","test_TC202_crear_tax_rate_sin_category","tests.configuration.tax_rates","Fri Nov 07 21:57:56 UTC 2025","passed","Fri Nov 07 21:57:57 UTC 2025","","test_POST_TaxRates","",""
"","140","test_TC181_validar_paginacion_basica","tests.customer.groups","Fri Nov 07 21:58:15 UTC 2025","passed","Fri Nov 07 21:58:15 UTC 2025","","test_GET_Customer_Group","",""
